zh-TW | zh | TW |  | Chinese (Taiwan) | Chinese | Taiwan |  | TWD
上午 | 下午
一月 | 二月 | 三月 | 四月 | 五月 | 六月 | 七月 | 八月 | 九月 | 十月 | 十一月 | 十二月
一月 | 二月 | 三月 | 四月 | 五月 | 六月 | 七月 | 八月 | 九月 | 十月 | 十一月 | 十二月
星期日 | 星期一 | 星期二 | 星期三 | 星期四 | 星期五 | 星期六
星期日 | 星期一 | 星期二 | 星期三 | 星期四 | 星期五 | 星期六
yyyy/M/d | yyyy/M/d | yyyy'年'M'月'd'日'
a h:mm | a hh:mm:ss | ahh'時'mm'分'ss'秒'
#,##0 | #,##0.### | #,##0% | ¤#,##0.00

und |  |  |  |  |  |  | 
MYR | 458 | 馬來西亞令吉 | MYR | 2
GNF | 324 | 幾內亞法郎 | GNF | 0
YER | 886 | 葉門里雅 | YER | 2
MNT | 496 | 蒙古圖格里克 | MNT | 2
PYG | 600 | 巴拉圭瓜拉尼 | PYG | 0
GYD | 328 | 圭亞那元 | GYD | 2
XAU | 959 | 黃金 | XAU | -1
ESP | 724 | 西班牙陪士特 | ESP | 0
TRY | 949 | 新土耳其里拉 | TRY | 2
SKK | 703 | 斯洛伐克克朗 | SKK | 2
XUA | 965 | ADB Unit of Account | XUA | -1
KWD | 414 | 科威特第納爾 | KWD | 3
XAG | 961 | XAG | XAG | -1
GHS | 936 | 迦納仙蔕 | GHS | 2
ETB | 230 | 衣索比亞比爾 | ETB | 2
SHP | 654 | 圣赫勒拿群岛磅 | SHP | 2
USD | 840 | 美元 | USD | 2
AUD | 36 | 澳幣 | AUD | 2
ZWL | 932 | 辛巴威元 (2009) | ZWL | 2
TPE | 626 | 帝汶埃斯库多 | TPE | 0
BAM | 977 | 波士尼亞-黑塞哥維那可轉換馬克 | BAM | 2
SBD | 90 | 索羅門群島元 | SBD | 2
ZAR | 710 | 南非蘭特 | ZAR | 2
TMM | 795 | 土庫曼馬納特 | TMM | 2
USN | 997 | 美元 (第二天) | USN | 2
ZWN | 942 | ZWN | ZWN | 2
NAD | 516 | 納米比亞元 | NAD | 2
MXV | 979 | 墨西哥 Unidad de Inversion (UDI)（资金） | MXV | 2
RSD | 941 | 塞爾維亞戴納 | RSD | 2
CUP | 192 | 古巴披索 | CUP | 2
